disruption_type,industry,supplier_tier,supplier_region,supplier_size,has_backup_supplier,disruption_severity,production_impact_pct,revenue_loss_usd,response_type,response_time_days,partial_recovery_days,full_recovery_days,permanent_supplier_change,severity_impact
Port Congestion,Aerospace,2,North America,Medium,0,2,27.7,5937737.48,Production Reroute,7,77,140,0,55.4
Port Congestion,Automotive,2,Asia-Pacific,Small,0,3,36.6,320171.57,Production Reroute,1,8,43,0,109.80000000000001
Port Congestion,Consumer Goods,2,North America,Medium,0,2,22.7,493609.3,Customer Delay,1,3,69,0,45.4
Geopolitical,Automotive,1,Europe,Small,1,3,64.0,485988.76,Alternative Supplier,2,43,86,0,192.0
Factory Incident,Consumer Goods,2,North America,Small,1,2,23.3,141758.09,Alternative Supplier,1,28,80,1,46.6
Labor Strike,Automotive,1,Asia-Pacific,Medium,0,2,39.1,1618777.47,Production Reroute,1,29,115,1,78.2
Cyber Attack,Electronics,1,Asia-Pacific,Medium,1,4,48.0,2929436.56,Production Reroute,1,20,141,1,192.0
Port Congestion,Automotive,1,Europe,Large,0,3,40.1,8736375.07,Production Reroute,17,33,65,0,120.30000000000001
Labor Strike,Electronics,2,Asia-Pacific,Large,1,3,36.7,2647947.54,Alternative Supplier,4,39,107,0,110.10000000000001
Cyber Attack,Electronics,2,North America,Medium,0,2,4.6,177664.64,Customer Delay,12,50,78,0,9.2
Factory Incident,Aerospace,1,Europe,Medium,1,2,38.4,8061792.75,Alternative Supplier,3,11,20,0,76.8
Port Congestion,Electronics,3,Asia-Pacific,Medium,1,1,1.0,84329.14,Production Reroute,1,3,22,0,1.0
Port Congestion,Electronics,3,Europe,Medium,1,2,25.4,632666.01,Inventory Buffer,1,12,37,0,50.8
Cyber Attack,Pharmaceuticals,2,South America,Medium,1,3,31.3,1804572.93,Alternative Supplier,9,58,103,0,93.9
Cyber Attack,Electronics,1,South America,Medium,0,5,71.7,1449370.64,Combined Strategy,1,22,245,0,358.5
Labor Strike,Electronics,4,Asia-Pacific,Medium,1,1,18.1,280085.97,Alternative Supplier,1,19,34,0,18.1
Geopolitical,Aerospace,4,North America,Small,0,3,28.6,3350285.05,Production Reroute,31,44,92,0,85.80000000000001
Labor Strike,Automotive,2,Asia-Pacific,Small,1,1,23.0,554262.38,Alternative Supplier,2,3,9,0,23.0
Cyber Attack,Automotive,4,Europe,Small,0,3,38.5,566431.31,Customer Delay,2,78,204,0,115.5
Port Congestion,Aerospace,1,Asia-Pacific,Large,1,2,38.6,17336379.84,Alternative Supplier,3,18,78,0,77.2
Factory Incident,Pharmaceuticals,2,Asia-Pacific,Small,1,1,6.1,66040.64,Alternative Supplier,5,14,36,0,6.1
Natural Disaster,Pharmaceuticals,3,Africa/Middle East,Large,0,3,25.2,7806925.19,Combined Strategy,17,11,30,0,75.6
Labor Strike,Pharmaceuticals,3,North America,Medium,1,4,41.5,1450074.15,Alternative Supplier,2,15,53,1,166.0
Labor Strike,Electronics,2,North America,Medium,1,2,15.3,415841.98,Alternative Supplier,3,8,13,0,30.6
Natural Disaster,Electronics,3,Asia-Pacific,Medium,1,3,27.1,606883.9,Alternative Supplier,8,19,127,0,81.30000000000001
Port Congestion,Consumer Goods,2,South America,Medium,0,1,18.8,235448.14,Production Reroute,5,5,34,0,18.8
Geopolitical,Pharmaceuticals,2,Asia-Pacific,Medium,1,3,36.5,2490720.68,Alternative Supplier,5,27,38,0,109.5
Port Congestion,Pharmaceuticals,1,North America,Medium,0,1,17.9,1513672.35,Production Reroute,5,15,27,0,17.9
Natural Disaster,Aerospace,4,South America,Small,1,3,31.9,1576295.34,Alternative Supplier,1,31,87,1,95.69999999999999
Cyber Attack,Electronics,3,Europe,Large,1,3,34.1,3301304.52,Alternative Supplier,3,3,46,0,102.30000000000001
Port Congestion,Electronics,2,Asia-Pacific,Small,0,1,16.9,245133.85,Customer Delay,13,26,59,0,16.9
Factory Incident,Automotive,1,Europe,Small,1,1,5.5,27308.38,Alternative Supplier,2,4,9,0,5.5
Port Congestion,Automotive,1,Asia-Pacific,Large,1,1,24.3,970489.12,Alternative Supplier,6,3,20,0,24.3
Geopolitical,Electronics,3,Europe,Large,1,5,57.6,1196433.49,Alternative Supplier,14,18,44,0,288.0
Cyber Attack,Electronics,1,Asia-Pacific,Small,1,4,48.4,354185.01,Alternative Supplier,6,46,63,0,193.6
Port Congestion,Electronics,2,North America,Large,1,2,19.0,2156103.67,Alternative Supplier,3,7,19,0,38.0
Port Congestion,Automotive,3,Asia-Pacific,Large,0,3,44.2,8112602.68,Production Reroute,8,31,107,0,132.60000000000002
Geopolitical,Pharmaceuticals,2,North America,Large,0,2,18.1,4253729.94,Inventory Buffer,1,6,38,0,36.2
Natural Disaster,Automotive,3,Asia-Pacific,Medium,0,3,34.5,2976946.16,Alternative Supplier,12,22,89,0,103.5
Labor Strike,Automotive,2,Europe,Medium,0,3,23.2,1089342.47,Production Reroute,3,65,133,1,69.6
Natural Disaster,Automotive,2,Asia-Pacific,Small,0,3,32.3,198695.77,Customer Delay,1,176,228,0,96.89999999999999
Port Congestion,Automotive,2,Asia-Pacific,Small,0,2,26.6,265112.91,Inventory Buffer,5,15,50,0,53.2
Factory Incident,Electronics,2,Europe,Medium,0,2,29.1,728752.79,Inventory Buffer,1,80,185,0,58.2
Factory Incident,Consumer Goods,2,North America,Medium,1,2,19.8,302816.94,Alternative Supplier,2,8,50,0,39.6
Natural Disaster,Automotive,1,North America,Small,0,3,63.7,744203.79,Inventory Buffer,7,46,62,0,191.10000000000002
Cyber Attack,Consumer Goods,1,Asia-Pacific,Medium,0,3,46.7,662898.31,Combined Strategy,12,25,107,0,140.10000000000002
Cyber Attack,Pharmaceuticals,3,Europe,Small,1,4,38.4,218175.85,Combined Strategy,4,88,93,0,153.6
Natural Disaster,Automotive,3,Asia-Pacific,Small,0,3,31.9,144756.09,Inventory Buffer,1,6,64,1,95.69999999999999
Factory Incident,Consumer Goods,2,North America,Small,0,3,58.7,1186379.81,Customer Delay,2,45,169,0,176.10000000000002
Factory Incident,Electronics,3,Europe,Small,0,1,19.8,404549.0,Inventory Buffer,2,11,34,0,19.8
Geopolitical,Pharmaceuticals,3,Asia-Pacific,Large,0,1,14.3,2969770.66,Production Reroute,1,13,39,0,14.3
Cyber Attack,Electronics,2,North America,Medium,0,4,41.4,301110.65,Production Reroute,43,203,237,1,165.6
Port Congestion,Consumer Goods,1,Europe,Medium,1,3,61.5,6104946.33,Customer Delay,2,67,110,0,184.5
Cyber Attack,Consumer Goods,1,South America,Large,0,3,54.2,16252933.33,Combined Strategy,4,68,115,0,162.60000000000002
Cyber Attack,Automotive,1,Asia-Pacific,Small,1,4,53.6,404304.22,Alternative Supplier,3,3,71,1,214.4
Port Congestion,Pharmaceuticals,4,Africa/Middle East,Medium,0,1,3.2,99555.07,Production Reroute,1,10,70,0,3.2
Port Congestion,Aerospace,1,Asia-Pacific,Large,1,2,15.6,4955207.15,Alternative Supplier,4,3,57,0,31.2
Cyber Attack,Pharmaceuticals,1,Asia-Pacific,Small,0,3,44.8,2376058.37,Combined Strategy,1,18,60,0,134.39999999999998
Port Congestion,Consumer Goods,3,Asia-Pacific,Small,0,1,6.2,31928.24,Production Reroute,3,3,18,0,6.2
Geopolitical,Automotive,1,North America,Medium,1,3,36.1,732968.12,Alternative Supplier,2,16,91,0,108.30000000000001
Port Congestion,Pharmaceuticals,1,Asia-Pacific,Large,1,3,56.8,10868431.31,Customer Delay,3,25,61,0,170.39999999999998
Labor Strike,Pharmaceuticals,3,Asia-Pacific,Medium,1,2,9.5,362335.01,Production Reroute,5,12,40,0,19.0
Cyber Attack,Automotive,1,Africa/Middle East,Medium,0,1,30.2,925178.97,Production Reroute,3,4,9,0,30.2
Labor Strike,Electronics,4,Europe,Large,1,2,37.2,477141.9,Alternative Supplier,1,15,39,0,74.4
Natural Disaster,Electronics,1,Europe,Large,1,2,36.3,1622138.59,Alternative Supplier,1,14,98,1,72.6
Geopolitical,Consumer Goods,2,Europe,Small,1,3,40.0,152774.93,Inventory Buffer,3,29,87,1,120.0
Cyber Attack,Pharmaceuticals,1,North America,Small,0,4,56.6,910224.73,Combined Strategy,2,40,302,1,226.4
Cyber Attack,Automotive,4,Africa/Middle East,Large,0,3,11.8,914573.09,Production Reroute,1,23,51,0,35.400000000000006
Port Congestion,Electronics,1,Asia-Pacific,Small,1,2,38.5,557410.14,Alternative Supplier,6,21,78,1,77.0
Natural Disaster,Automotive,1,North America,Large,0,2,15.3,5066803.74,Production Reroute,18,60,77,1,30.6
Natural Disaster,Electronics,2,Europe,Small,0,3,44.8,265608.75,Combined Strategy,3,18,44,0,134.39999999999998
Labor Strike,Automotive,1,Europe,Small,1,1,6.7,41410.76,Production Reroute,2,20,48,0,6.7
Cyber Attack,Aerospace,1,Asia-Pacific,Small,0,3,36.3,2789907.53,Inventory Buffer,9,39,72,1,108.89999999999999
Cyber Attack,Consumer Goods,4,Asia-Pacific,Small,0,2,30.0,152613.1,Inventory Buffer,1,8,119,0,60.0
Cyber Attack,Aerospace,1,Asia-Pacific,Medium,1,3,54.6,4575687.38,Alternative Supplier,1,28,122,0,163.8
Port Congestion,Electronics,1,Europe,Small,1,2,35.1,58015.63,Customer Delay,5,13,46,0,70.2
Cyber Attack,Electronics,1,Europe,Small,1,3,37.3,1050778.25,Alternative Supplier,1,11,20,1,111.89999999999999
Geopolitical,Aerospace,2,Europe,Small,1,1,1.4,35151.23,Combined Strategy,3,6,20,0,1.4
Natural Disaster,Consumer Goods,2,Asia-Pacific,Small,1,3,30.7,138587.0,Alternative Supplier,4,10,32,0,92.1
Cyber Attack,Pharmaceuticals,2,Asia-Pacific,Large,0,2,19.0,6347735.68,Customer Delay,8,18,133,0,38.0
Geopolitical,Electronics,3,Europe,Medium,1,2,17.1,236082.32,Alternative Supplier,4,3,19,0,34.2
Port Congestion,Automotive,3,Asia-Pacific,Small,1,2,11.0,58725.26,Customer Delay,2,36,88,0,22.0
Port Congestion,Electronics,4,Asia-Pacific,Small,0,1,18.9,58554.13,Inventory Buffer,4,9,14,0,18.9
Geopolitical,Automotive,2,North America,Medium,0,4,42.3,6197746.15,Production Reroute,2,117,222,1,169.2
Geopolitical,Automotive,1,North America,Medium,1,2,19.5,641407.39,Alternative Supplier,1,7,12,0,39.0
Geopolitical,Electronics,4,Asia-Pacific,Large,1,3,19.9,1612818.21,Customer Delay,9,15,69,0,59.699999999999996
Port Congestion,Automotive,1,Asia-Pacific,Large,1,2,32.4,2636785.25,Alternative Supplier,1,4,49,0,64.8
Natural Disaster,Electronics,3,Asia-Pacific,Large,1,3,34.8,2293907.18,Alternative Supplier,6,55,208,0,104.39999999999999
Factory Incident,Consumer Goods,1,Asia-Pacific,Small,0,3,40.8,302379.64,Production Reroute,14,28,53,0,122.39999999999999
Port Congestion,Aerospace,1,Asia-Pacific,Small,1,4,44.7,970980.54,Alternative Supplier,1,16,86,0,178.8
Geopolitical,Electronics,4,Asia-Pacific,Medium,1,2,27.7,374118.6,Alternative Supplier,1,27,111,1,55.4
Natural Disaster,Aerospace,1,South America,Small,1,3,31.7,372323.9,Alternative Supplier,1,22,113,0,95.1
Factory Incident,Consumer Goods,1,Asia-Pacific,Large,0,2,26.6,864164.72,Customer Delay,21,26,97,0,53.2
Geopolitical,Automotive,2,Asia-Pacific,Medium,0,2,13.9,1217639.8,Inventory Buffer,1,25,47,0,27.8
Port Congestion,Electronics,1,Europe,Medium,0,1,17.6,2444770.7,Customer Delay,4,4,11,0,17.6
Cyber Attack,Aerospace,3,Asia-Pacific,Medium,0,2,11.7,619548.19,Alternative Supplier,1,37,100,1,23.4
Natural Disaster,Automotive,3,Asia-Pacific,Medium,1,3,34.3,824745.98,Alternative Supplier,1,50,75,1,102.89999999999999
Cyber Attack,Automotive,3,Africa/Middle East,Medium,0,2,23.4,968352.71,Inventory Buffer,8,22,37,0,46.8
Factory Incident,Electronics,2,Europe,Medium,1,2,29.4,798156.09,Alternative Supplier,1,15,52,0,58.8
Port Congestion,Pharmaceuticals,2,South America,Medium,1,1,2.0,110401.04,Alternative Supplier,5,3,8,0,2.0
Cyber Attack,Consumer Goods,1,Europe,Large,1,4,67.8,1107233.39,Alternative Supplier,1,65,114,1,271.2
Labor Strike,Electronics,2,Europe,Small,1,3,61.5,552453.04,Production Reroute,1,15,71,0,184.5
Natural Disaster,Pharmaceuticals,1,North America,Small,0,2,28.6,385489.93,Production Reroute,1,51,120,1,57.2
Natural Disaster,Consumer Goods,1,Asia-Pacific,Small,0,2,40.2,1639881.56,Customer Delay,6,17,133,0,80.4
Port Congestion,Pharmaceuticals,2,North America,Medium,0,2,23.2,5269140.98,Customer Delay,4,16,68,0,46.4
Geopolitical,Electronics,3,North America,Medium,1,3,10.7,615084.09,Alternative Supplier,6,20,102,0,32.099999999999994
Labor Strike,Automotive,1,Africa/Middle East,Medium,1,2,38.7,2624177.2,Alternative Supplier,1,21,49,0,77.4
Factory Incident,Pharmaceuticals,3,Europe,Medium,0,2,42.2,3019091.79,Inventory Buffer,15,3,34,0,84.4
Geopolitical,Electronics,2,Asia-Pacific,Large,1,4,39.0,2068004.42,Alternative Supplier,5,28,85,1,156.0
Port Congestion,Consumer Goods,2,South America,Small,0,1,2.8,35196.53,Customer Delay,1,4,18,0,2.8
Port Congestion,Electronics,3,Africa/Middle East,Medium,1,3,37.4,556588.45,Alternative Supplier,8,52,79,1,112.19999999999999
Port Congestion,Electronics,1,North America,Small,0,1,13.2,202161.33,Customer Delay,3,18,48,1,13.2
Factory Incident,Automotive,3,Africa/Middle East,Small,1,2,7.0,269507.0,Alternative Supplier,6,35,48,0,14.0
Geopolitical,Pharmaceuticals,2,Asia-Pacific,Medium,1,2,18.1,3778754.45,Alternative Supplier,1,39,87,0,36.2
Labor Strike,Electronics,1,Asia-Pacific,Small,1,2,46.8,319197.74,Production Reroute,1,32,68,0,93.6
Port Congestion,Pharmaceuticals,1,Asia-Pacific,Medium,1,1,23.6,3363559.93,Customer Delay,1,10,20,1,23.6
Labor Strike,Consumer Goods,2,Asia-Pacific,Large,1,2,3.8,243263.3,Alternative Supplier,2,11,41,0,7.6
Cyber Attack,Electronics,1,Asia-Pacific,Large,1,3,68.5,5053103.45,Production Reroute,1,65,113,0,205.5
Natural Disaster,Pharmaceuticals,1,North America,Medium,1,3,43.8,2356007.22,Alternative Supplier,1,24,52,0,131.39999999999998
Cyber Attack,Aerospace,1,Asia-Pacific,Medium,1,4,50.7,1904769.84,Alternative Supplier,1,31,77,0,202.8
Port Congestion,Automotive,1,Europe,Small,0,1,17.1,137694.71,Customer Delay,5,9,66,1,17.1
Port Congestion,Consumer Goods,4,Asia-Pacific,Small,0,3,26.8,39953.18,Production Reroute,1,22,40,0,80.4
Factory Incident,Automotive,2,Africa/Middle East,Medium,1,2,33.9,1552399.3,Alternative Supplier,1,15,63,0,67.8
Labor Strike,Electronics,1,Asia-Pacific,Small,0,1,11.2,225045.28,Inventory Buffer,3,6,31,1,11.2
Port Congestion,Electronics,1,Asia-Pacific,Large,0,1,13.1,1956595.44,Production Reroute,2,20,52,1,13.1
Port Congestion,Pharmaceuticals,3,Africa/Middle East,Small,1,1,16.9,494499.59,Alternative Supplier,1,12,32,0,16.9
Factory Incident,Automotive,4,North America,Large,1,3,6.1,1202406.3,Alternative Supplier,1,23,49,0,18.299999999999997
Geopolitical,Electronics,1,Asia-Pacific,Medium,1,2,27.7,1830820.26,Inventory Buffer,1,31,46,1,55.4
Port Congestion,Aerospace,4,Europe,Medium,1,2,19.3,1034602.31,Alternative Supplier,4,13,33,0,38.6
Cyber Attack,Electronics,2,North America,Small,0,2,43.1,205688.21,Customer Delay,1,31,114,0,86.2
Factory Incident,Automotive,3,North America,Small,1,1,9.0,45775.88,Production Reroute,4,9,60,0,9.0
Factory Incident,Automotive,3,South America,Medium,1,3,41.8,349498.21,Alternative Supplier,1,40,152,0,125.39999999999999
Cyber Attack,Consumer Goods,1,Africa/Middle East,Small,0,5,82.3,1850864.6,Combined Strategy,12,20,352,0,411.5
Port Congestion,Electronics,2,Europe,Small,1,2,20.4,170469.39,Alternative Supplier,1,11,43,0,40.8
Factory Incident,Electronics,1,Asia-Pacific,Small,1,3,47.4,233872.38,Customer Delay,1,59,87,0,142.2
Natural Disaster,Aerospace,1,Asia-Pacific,Small,1,2,27.4,1134980.3,Alternative Supplier,1,13,93,0,54.8
Port Congestion,Automotive,1,Asia-Pacific,Medium,0,1,19.3,556124.86,Customer Delay,2,3,15,0,19.3
Factory Incident,Consumer Goods,3,North America,Medium,0,1,26.9,95678.7,Combined Strategy,1,3,82,0,26.9
Natural Disaster,Automotive,1,Europe,Large,0,4,58.3,6251834.96,Combined Strategy,1,20,63,1,233.2
Port Congestion,Electronics,4,South America,Medium,1,1,1.0,59177.18,Alternative Supplier,1,31,51,0,1.0
Geopolitical,Pharmaceuticals,2,Europe,Medium,1,3,43.1,2762261.26,Alternative Supplier,8,3,37,0,129.3
Factory Incident,Consumer Goods,1,Asia-Pacific,Small,1,2,32.1,258656.93,Production Reroute,1,21,63,0,64.2
Labor Strike,Consumer Goods,2,Asia-Pacific,Large,1,2,29.0,1966462.45,Alternative Supplier,1,3,20,0,58.0
Port Congestion,Pharmaceuticals,4,Asia-Pacific,Small,0,1,1.0,76647.2,Customer Delay,1,29,48,1,1.0
Geopolitical,Automotive,1,Asia-Pacific,Medium,1,3,50.2,1556612.54,Production Reroute,1,16,21,1,150.60000000000002
Natural Disaster,Pharmaceuticals,2,Asia-Pacific,Small,0,2,21.2,411088.64,Alternative Supplier,5,25,58,0,42.4
Factory Incident,Electronics,3,Asia-Pacific,Small,0,4,57.9,1088039.28,Production Reroute,36,41,93,0,231.6
Natural Disaster,Aerospace,1,Asia-Pacific,Medium,1,3,40.6,19834930.87,Inventory Buffer,1,7,23,0,121.80000000000001
Port Congestion,Electronics,2,North America,Small,0,2,7.4,31355.76,Production Reroute,1,21,49,1,14.8
Cyber Attack,Automotive,2,North America,Medium,1,2,26.7,815085.42,Alternative Supplier,3,42,85,0,53.4
Port Congestion,Automotive,4,North America,Medium,0,1,12.5,488128.21,Production Reroute,1,16,37,1,12.5
Geopolitical,Pharmaceuticals,2,Asia-Pacific,Large,0,3,31.3,8869468.81,Customer Delay,2,5,70,0,93.9
Geopolitical,Electronics,3,Europe,Small,0,3,30.1,113074.72,Production Reroute,1,19,81,0,90.30000000000001
Geopolitical,Electronics,1,Asia-Pacific,Medium,1,3,38.6,1790004.59,Customer Delay,2,29,75,1,115.80000000000001
Geopolitical,Electronics,1,North America,Medium,0,2,30.3,596479.57,Alternative Supplier,4,12,92,1,60.6
Geopolitical,Aerospace,1,North America,Small,1,2,43.2,410852.91,Inventory Buffer,1,21,50,0,86.4
Natural Disaster,Automotive,1,North America,Large,1,3,29.0,4845689.91,Alternative Supplier,2,5,17,0,87.0
Cyber Attack,Consumer Goods,1,Asia-Pacific,Medium,1,4,59.6,1839136.25,Alternative Supplier,5,35,153,0,238.4
Cyber Attack,Consumer Goods,2,Europe,Medium,0,3,44.9,275317.4,Alternative Supplier,4,30,98,0,134.7
Port Congestion,Pharmaceuticals,4,South America,Large,0,2,18.1,4338305.32,Customer Delay,2,95,118,1,36.2
Natural Disaster,Electronics,1,Asia-Pacific,Medium,0,3,54.7,1315023.05,Production Reroute,3,11,120,0,164.10000000000002
Port Congestion,Pharmaceuticals,2,North America,Small,1,1,7.3,24646.72,Alternative Supplier,1,13,38,0,7.3
Natural Disaster,Automotive,2,Asia-Pacific,Medium,1,2,33.9,2550099.57,Production Reroute,2,24,34,0,67.8
Natural Disaster,Aerospace,1,Europe,Large,0,2,34.0,1517918.68,Inventory Buffer,3,18,67,0,68.0
Geopolitical,Pharmaceuticals,1,South America,Medium,1,3,46.2,1651951.59,Inventory Buffer,4,58,90,0,138.60000000000002
Factory Incident,Automotive,3,North America,Large,0,1,6.2,1214642.06,Combined Strategy,2,10,38,0,6.2
Factory Incident,Consumer Goods,1,Asia-Pacific,Medium,1,2,34.3,2582914.89,Customer Delay,1,37,78,0,68.6
Geopolitical,Electronics,2,South America,Medium,1,4,47.0,420818.11,Combined Strategy,5,51,101,1,188.0
Natural Disaster,Automotive,2,Asia-Pacific,Small,1,3,53.0,314918.6,Alternative Supplier,1,3,28,0,159.0
Cyber Attack,Automotive,2,Asia-Pacific,Medium,1,5,58.2,1929483.53,Alternative Supplier,1,50,162,1,291.0
Factory Incident,Pharmaceuticals,3,Europe,Medium,1,2,26.1,1344506.02,Alternative Supplier,1,11,31,0,52.2
Geopolitical,Pharmaceuticals,3,Asia-Pacific,Large,1,3,34.4,14726046.77,Alternative Supplier,1,13,70,0,103.19999999999999
Labor Strike,Aerospace,2,Africa/Middle East,Large,1,1,5.9,1361477.57,Alternative Supplier,1,8,23,0,5.9
Natural Disaster,Electronics,2,Asia-Pacific,Small,0,4,39.5,611597.84,Combined Strategy,10,61,87,0,158.0
Port Congestion,Consumer Goods,3,Europe,Medium,0,2,1.0,10000.0,Inventory Buffer,15,25,95,0,2.0
Geopolitical,Electronics,3,Europe,Large,1,4,32.6,1662703.21,Alternative Supplier,6,30,63,0,130.4
Labor Strike,Consumer Goods,3,Asia-Pacific,Medium,1,4,42.2,548642.4,Alternative Supplier,1,80,114,1,168.8
Port Congestion,Electronics,1,North America,Large,1,2,48.6,11110712.94,Alternative Supplier,3,29,80,0,97.2
Port Congestion,Electronics,3,North America,Large,1,1,10.4,1544817.95,Alternative Supplier,1,22,27,1,10.4
Geopolitical,Electronics,2,South America,Medium,1,3,36.8,3201949.01,Alternative Supplier,2,13,38,0,110.39999999999999
Labor Strike,Automotive,4,North America,Medium,0,4,28.0,1239729.33,Production Reroute,2,170,313,0,112.0
Cyber Attack,Consumer Goods,3,North America,Large,1,2,18.2,1484734.34,Alternative Supplier,4,20,51,0,36.4
Port Congestion,Pharmaceuticals,1,North America,Large,0,3,38.3,13028424.65,Inventory Buffer,1,14,211,0,114.89999999999999
Cyber Attack,Electronics,2,Asia-Pacific,Medium,0,3,38.1,3017344.37,Inventory Buffer,1,39,80,0,114.30000000000001
Cyber Attack,Electronics,1,Asia-Pacific,Medium,1,3,30.8,2038673.42,Alternative Supplier,2,7,97,0,92.4
Port Congestion,Automotive,1,Africa/Middle East,Medium,0,3,51.0,2702925.19,Customer Delay,7,65,166,0,153.0
Geopolitical,Aerospace,2,Europe,Small,0,3,33.5,1485660.36,Inventory Buffer,2,19,94,0,100.5
Port Congestion,Electronics,4,North America,Large,0,3,11.9,3780874.94,Production Reroute,1,3,67,1,35.7
Port Congestion,Automotive,1,Europe,Medium,1,3,49.1,6215924.7,Alternative Supplier,1,11,31,0,147.3
Labor Strike,Pharmaceuticals,1,Asia-Pacific,Medium,1,2,44.2,1910911.88,Alternative Supplier,4,13,18,0,88.4
Port Congestion,Consumer Goods,3,Asia-Pacific,Small,1,3,50.3,489311.09,Alternative Supplier,1,11,52,0,150.89999999999998
Port Congestion,Pharmaceuticals,3,North America,Small,0,1,1.0,25303.18,Inventory Buffer,5,3,23,1,1.0
Labor Strike,Electronics,2,Asia-Pacific,Medium,0,1,12.5,750366.51,Alternative Supplier,2,15,43,0,12.5
Factory Incident,Electronics,2,Asia-Pacific,Large,0,4,60.2,9867536.93,Combined Strategy,22,19,203,1,240.8
Natural Disaster,Consumer Goods,2,Africa/Middle East,Large,1,3,51.0,5351942.83,Alternative Supplier,2,40,90,0,153.0
Cyber Attack,Pharmaceuticals,1,North America,Small,0,4,59.0,855383.9,Combined Strategy,2,33,41,1,236.0
Cyber Attack,Electronics,1,North America,Large,0,3,51.8,2986784.15,Alternative Supplier,5,6,83,1,155.39999999999998
Labor Strike,Automotive,3,North America,Medium,0,3,10.1,73842.51,Inventory Buffer,3,11,45,0,30.299999999999997
Geopolitical,Pharmaceuticals,1,North America,Small,1,2,31.0,504805.51,Alternative Supplier,1,18,25,0,62.0
Natural Disaster,Electronics,3,Europe,Medium,1,5,63.8,2421869.85,Alternative Supplier,1,30,116,1,319.0
Natural Disaster,Electronics,3,South America,Medium,1,3,37.2,1127649.82,Alternative Supplier,2,40,71,0,111.60000000000001
Natural Disaster,Consumer Goods,3,Africa/Middle East,Small,1,4,38.9,165721.04,Alternative Supplier,18,73,148,0,155.6
Factory Incident,Electronics,2,Asia-Pacific,Medium,1,1,20.5,321985.69,Alternative Supplier,1,11,16,0,20.5
Geopolitical,Electronics,4,Africa/Middle East,Small,0,2,24.7,143616.44,Production Reroute,1,29,34,1,49.4
Geopolitical,Automotive,1,Asia-Pacific,Medium,1,1,1.0,11014.92,Production Reroute,1,20,29,0,1.0
Port Congestion,Automotive,4,North America,Small,1,3,16.4,206398.11,Inventory Buffer,3,38,111,0,49.199999999999996
Cyber Attack,Electronics,2,North America,Large,1,3,40.5,4504419.16,Inventory Buffer,3,26,93,1,121.5
Geopolitical,Automotive,1,North America,Medium,1,2,44.3,1851976.55,Combined Strategy,1,12,20,0,88.6
Labor Strike,Aerospace,3,Asia-Pacific,Medium,1,3,38.1,6703548.77,Alternative Supplier,1,14,52,0,114.30000000000001
Cyber Attack,Electronics,4,Asia-Pacific,Medium,1,4,37.9,895813.98,Alternative Supplier,1,8,70,1,151.6
Cyber Attack,Pharmaceuticals,3,Asia-Pacific,Small,0,2,11.7,349004.17,Production Reroute,1,32,61,0,23.4
Factory Incident,Pharmaceuticals,1,North America,Small,1,3,61.7,2047447.94,Inventory Buffer,5,13,44,0,185.10000000000002
Geopolitical,Electronics,3,Asia-Pacific,Small,1,4,51.2,2130268.81,Alternative Supplier,6,20,26,1,204.8
Geopolitical,Pharmaceuticals,3,Europe,Small,1,4,46.0,1485085.2,Combined Strategy,2,138,194,0,184.0
Geopolitical,Automotive,2,Asia-Pacific,Medium,0,2,35.2,783133.33,Production Reroute,4,23,106,0,70.4
Labor Strike,Automotive,1,North America,Large,0,3,37.4,3054034.59,Production Reroute,3,10,30,0,112.19999999999999
Factory Incident,Automotive,1,Asia-Pacific,Small,0,3,41.1,1109762.22,Combined Strategy,5,31,74,0,123.30000000000001
Port Congestion,Electronics,3,Europe,Medium,1,1,14.0,364260.37,Production Reroute,1,6,14,0,14.0
Geopolitical,Electronics,1,South America,Large,1,3,43.1,8413151.3,Alternative Supplier,5,34,103,1,129.3
Port Congestion,Aerospace,2,Asia-Pacific,Small,0,3,34.9,2048586.26,Customer Delay,2,72,100,0,104.69999999999999
Geopolitical,Automotive,3,Africa/Middle East,Medium,1,1,5.1,442139.66,Alternative Supplier,8,4,9,0,5.1
Labor Strike,Pharmaceuticals,4,Africa/Middle East,Medium,0,1,2.4,88403.5,Customer Delay,1,5,22,0,2.4
Port Congestion,Automotive,2,Europe,Small,1,1,6.3,134670.38,Alternative Supplier,1,3,9,0,6.3
Port Congestion,Consumer Goods,1,Asia-Pacific,Medium,1,2,43.2,1210164.55,Alternative Supplier,1,18,33,0,86.4
Geopolitical,Automotive,2,Europe,Medium,0,3,42.5,4298937.78,Production Reroute,1,40,81,0,127.5
Geopolitical,Automotive,2,Europe,Large,1,2,39.0,819227.18,Alternative Supplier,2,11,38,0,78.0
Geopolitical,Electronics,1,North America,Large,1,2,34.1,8615468.53,Alternative Supplier,1,12,72,0,68.2
Labor Strike,Consumer Goods,1,Africa/Middle East,Medium,1,3,42.0,419126.19,Alternative Supplier,5,44,93,0,126.0
Natural Disaster,Automotive,2,North America,Medium,1,5,53.1,2601825.21,Combined Strategy,3,88,170,1,265.5
Labor Strike,Electronics,1,North America,Medium,1,2,22.8,284736.87,Customer Delay,5,22,62,0,45.6
Natural Disaster,Pharmaceuticals,1,Asia-Pacific,Medium,1,2,37.6,2417932.53,Alternative Supplier,2,8,14,0,75.2
